,filename,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
0,2007_000027.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2007_000032.jpg,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2,2007_000033.jpg,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2007_000039.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,2007_000042.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5,2007_000061.jpg,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2007_000063.jpg,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7,2007_000068.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2007_000121.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9,2007_000123.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,2007_000129.jpg,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
11,2007_000170.jpg,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
12,2007_000175.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,2007_000187.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,2007_000241.jpg,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2007_000243.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2007_000250.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,2007_000256.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2007_000272.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,2007_000323.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
20,2007_000332.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,2007_000333.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,2007_000346.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
23,2007_000363.jpg,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2007_000364.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
25,2007_000392.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
26,2007_000423.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
27,2007_000452.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
28,2007_000464.jpg,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
29,2007_000480.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
30,2007_000491.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,2007_000504.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
32,2007_000515.jpg,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
33,2007_000528.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,2007_000529.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2007_000549.jpg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,2007_000559.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,2007_000572.jpg,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2007_000584.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,2007_000629.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
40,2007_000636.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,2007_000645.jpg,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2007_000648.jpg,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0
43,2007_000661.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
44,2007_000663.jpg,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2007_000664.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,2007_000676.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,2007_000713.jpg,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2007_000720.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,2007_000727.jpg,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0
50,2007_000733.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
